product,original_price,selling_price,category,source,rating,main_category,discount,price_range
T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,999.0,399.0,"[""Watches >> Wrist Watches >> T STAR Wrist Watches""]",Flipkart,,Watches,60.06006006006006,Budget
Rialto Boots,3295.0,2795.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,15.174506828528072,Premium
Kielz Ladies Boots,2499.0,1249.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,50.020008003201276,Mid-Range
"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5495.0,4995.0,"[""Watches >> Wrist Watches >> Alfajr Wrist Watches""]",Flipkart,,Watches,9.099181073703367,Premium
La Briza Ashley Boots,2299.0,2299.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,0.0,Mid-Range
"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107750.0,107750.0,"[""Watches >> Wrist Watches >> TAG Heuer Wrist Watches""]",Flipkart,,Watches,0.0,Luxury
Salt N Pepper 13-019 Femme Black Boots Boots,4195.0,3146.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,25.005959475566154,Premium
Shuz Touch Boots,1499.0,1270.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,15.276851234156105,Mid-Range
Wrangler Skanders Fit Men's Jeans,2795.0,1817.0,"[""Clothing >> Men's Clothing >> Jeans >> Wrangler Jeans""]",Flipkart,,Clothing,34.991055456171736,Mid-Range
Salt N Pepper 14-664 Denny Black Boots Boots,4295.0,3221.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,25.0058207217695,Premium
"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1199.0,429.0,"[""Watches >> Wrist Watches >> Costa Swiss Wrist Watches""]",Flipkart,,Watches,64.22018348623854,Budget
Crocs Boots,3995.0,3995.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,0.0,Premium
"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571230.0,571230.0,"[""Watches >> Wrist Watches >> Breitling Wrist Watches""]",Flipkart,,Watches,0.0,Luxury
Lyc White Casual Boots,1199.0,899.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,25.0208507089241,Economy
Myra Comfortable Boots,1049.0,499.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,52.430886558627265,Budget
"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",2000.0,699.0,"[""Watches >> Wrist Watches >> Calibro Wrist Watches""]",Flipkart,,Watches,65.05,Economy
Get Glamr Designer Uggy Boots,3499.0,2799.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,20.005715918833953,Premium
Rochees RW50 Analog Watch  - For Boys,1120.0,952.0,"[""Watches >> Wrist Watches >> Rochees Wrist Watches""]",Flipkart,,Watches,15.0,Economy
Salt N Pepper 13-516 Greta Red Boots,3495.0,2621.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,25.007153075822604,Premium
Fluid DMF-002-GR01 Digital Watch  - For Boys,1699.0,849.0,"[""Watches >> Wrist Watches >> Fluid Wrist Watches""]",Flipkart,,Watches,50.02942907592701,Economy
"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1099.0,399.0,"[""Watches >> Wrist Watches >> Rorlig Wrist Watches""]",Flipkart,,Watches,63.69426751592356,Budget
Wrangler Regular Fit Men's Jeans,3295.0,1812.0,"[""Clothing >> Men's Clothing >> Jeans >> Wrangler Jeans""]",Flipkart,,Clothing,45.007587253414265,Mid-Range
"Disney DW100230 Digital Watch  - For Boys, Girls",350.0,350.0,"[""Watches >> Wrist Watches >> Disney Wrist Watches""]",Flipkart,,Watches,0.0,Budget
Salt N Pepper 13-167 Marsha Red Boots,3695.0,2771.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,25.006765899864682,Premium
"Cartier W6701005 Analog Watch  - For Boys, Men",201000.0,201000.0,"[""Watches >> Wrist Watches >> Cartier Wrist Watches""]",Flipkart,,Watches,0.0,Luxury
Bruno Manetti Cannelita Boots,3399.0,1359.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,60.01765225066195,Mid-Range
Stylistry Maxis Shde6603brwoboot3104 Boots,2199.0,1599.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,27.285129604365622,Mid-Range
"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1200.0,399.0,"[""Watches >> Wrist Watches >> Lois Caron Wrist Watches""]",Flipkart,,Watches,66.75,Budget
"Felix Y 39 Analog Watch  - For Boys, Men",1550.0,525.0,"[""Watches >> Wrist Watches >> Felix Wrist Watches""]",Flipkart,,Watches,66.12903225806451,Economy
Kielz Boots,2999.0,2399.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,20.00666888962988,Mid-Range
Sakay Country Leather Boots,3999.0,3499.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,12.503125781445362,Premium
La Briza Black Boots,2299.0,2069.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,10.004349717268378,Mid-Range
"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",375.0,263.0,"[""Watches >> Wrist Watches >> Kool Kidz Wrist Watches""]",Flipkart,,Watches,29.86666666666667,Budget
